### Antiparallel
    Parallel	  C	  H	               first	0.000000
    Parallel	  C	  C	                 end	0.710652
    Parallel	  C	  C	             bulgej0	0.000000
    Parallel	  C	  C	             bulgej1	0.000000
    Parallel	  C	  C	             bulgej2	0.000000
    Parallel	  C	  C	            internal	0.000000
    Parallel	  C	  C	          background	0.791113
    Parallel	  C	  C	                last	0.000000
    Parallel	  C	  C	             bulgei1	0.000000
    Parallel	  C	  C	             bulgei0	0.000000
    Parallel	  C	  C	               first	0.000000
    Parallel	  C	  E	                 end	0.710614
    Parallel	  C	  E	             bulgej0	0.000000
    Parallel	  C	  E	             bulgej1	0.000000
    Parallel	  C	  E	             bulgej2	0.000000
    Parallel	  C	  E	            internal	0.000000
    Parallel	  C	  E	          background	0.213666
    Parallel	  C	  E	                last	0.000000
    Parallel	  C	  E	             bulgei1	0.000000
    Parallel	  C	  E	             bulgei0	0.000000
    Parallel	  C	  E	               first	0.000000
    Parallel	  E	  H	                 end	0.258347
    Parallel	  E	  H	             bulgej0	1.000000
    Parallel	  E	  H	             bulgej1	1.000000
    Parallel	  E	  H	             bulgej2	1.000000
    Parallel	  E	  H	            internal	1.000000
    Parallel	  E	  H	          background	0.002827
    Parallel	  E	  H	                last	1.000000
    Parallel	  E	  H	             bulgei1	1.000000
    Parallel	  E	  H	             bulgei0	1.000000
    Parallel	  E	  H	               first	1.000000
    Parallel	  E	  C	                 end	0.258347
    Parallel	  E	  C	             bulgej0	1.000000
    Parallel	  E	  C	             bulgej1	1.000000
    Parallel	  E	  C	             bulgej2	1.000000
    Parallel	  E	  C	            internal	1.000000
    Parallel	  E	  C	          background	0.087923
    Parallel	  E	  C	                last	1.000000
    Parallel	  E	  C	             bulgei1	1.000000
    Parallel	  E	  C	             bulgei0	1.000000
    Parallel	  E	  C	               first	1.000000
    Parallel	  E	  E	                 end	0.258390
    Parallel	  E	  E	             bulgej0	1.000000
    Parallel	  E	  E	             bulgej1	1.000000
    Parallel	  E	  E	             bulgej2	1.000000
    Parallel	  E	  E	            internal	1.000000
    Parallel	  E	  E	          background	0.771835
    Parallel	  E	  E	                last	1.000000
    Parallel	  E	  E	             bulgei1	1.000000
    Parallel	  E	  E	             bulgei0	1.000000
    Parallel	  E	  E	               first	1.000000
